Cognome,Nome,Squadra,Posizione,Partite Giocate,Tiri Totali,Gol Totali,Tiri Sbagliati,Gol Azione,Gol Rigore,Percentuale Realizzazione,Assist,Falli Tecnici,Intercetti,Blocchi,Cartellino Giallo,2 Minuti,Cartellino Rosso,Cartellino Blu,Stagione,Categoria
Wiese,Jens,NOL,Terzino Sinistro,30,222,98,124,98,0,0.4414,8,11,8,11,7,7,0,0,17/18,B
Vorlicek,Philipp,NOL,Terzino Destro,37,161,98,63,98,0,0.6087,30,26,13,5,20,17,0,0,17/18,B
Marcec,Martin,SGB,Ala Sinistra,34,134,97,37,96,1,0.7239,12,12,19,1,7,7,0,0,17/18,B
Schult,Jan,VFL,Terzino Sinistro,32,204,96,108,96,0,0.4706,33,31,8,23,15,10,0,0,17/18,B
Verjans,Nicky,NOL,Ala Destra,33,168,95,73,75,20,0.5655,34,16,3,2,6,3,0,0,17/18,B
Faith,Jan,AUE,Ala Destra,38,161,95,66,95,0,0.5901,9,8,8,0,9,8,1,0,17/18,B
Metzner,Antonio,VFL,Terzino Destro,30,178,95,83,95,0,0.5337,17,16,8,5,11,6,0,0,17/18,B
Milde,Oliver,VFL,Terzino Sinistro,19,166,94,72,94,0,0.5663,14,14,1,0,0,1,0,0,17/18,B
Weyhrauch,Willy,EIS,Ala Destra,35,136,94,42,94,0,0.6912,16,13,19,0,8,15,0,0,17/18,B
Kammlodt,Adrian,ELB,Terzino Sinistro,38,203,94,109,94,0,0.4631,41,29,4,3,7,8,0,0,17/18,B
Friedrich,Lars,HBW,Terzino Destro,30,159,93,66,93,0,0.5849,42,31,1,4,9,7,0,0,17/18,B
Bornhauser,Tim,KON,Centrale,38,166,93,73,88,5,0.5602,60,38,7,4,11,6,0,0,17/18,B
Wolf,Tom,KON,Terzino Sinistro,34,152,93,59,62,31,0.6118,31,17,4,15,5,9,0,0,17/18,B
Majdzinski,Maciej,BHC,Terzino Destro,37,154,91,63,91,0,0.5909,34,25,9,5,12,8,0,0,17/18,B
Woss,Richard,TUE,Ala Destra,29,135,90,45,81,9,0.6667000000000001,4,9,11,0,2,3,0,0,17/18,B
Kirveliavicius,Romas,COB,Terzino Sinistro,36,181,90,91,90,0,0.4972,32,33,6,17,20,20,1,0,17/18,B
Possehl,Julian,ASV,Terzino Destro,35,160,89,71,89,0,0.5563,100,67,6,9,10,10,0,0,17/18,B
Vanco,Marek,DES,Ala Sinistra,38,136,89,47,89,0,0.6544,19,17,4,5,10,20,0,0,17/18,B
Damm,Sebastian,VFL,Ala Sinistra,29,120,89,31,45,44,0.7417,6,18,7,0,5,6,1,0,17/18,B
Hanisch,Libor,DES,Pivot,38,105,89,16,89,0,0.8476,7,20,4,21,19,29,3,0,17/18,B
Niemeyer,Marcel,EIS,Pivot,34,115,88,27,88,0,0.7652,4,24,1,7,14,21,0,0,17/18,B
Kropp,Andre,TVE,Pivot,35,120,87,33,87,0,0.725,8,10,8,16,14,24,0,0,17/18,B
Emanuel,Max,SGB,Terzino Destro,38,157,87,70,87,0,0.5540999999999999,76,30,18,4,16,13,0,0,17/18,B
Kolodziej,Falk,HGS,Centrale,37,166,87,79,87,0,0.5241,35,26,5,0,4,5,0,0,17/18,B
Klasmann,Christopher,VIK,Terzino Sinistro,33,222,86,136,76,10,0.3874,25,24,0,0,1,2,0,0,17/18,B
Engels,Marcel,HGS,Terzino Sinistro,37,171,85,86,85,0,0.4971,47,45,11,16,14,29,1,0,17/18,B
De Santis,Gabriel,ELB,Terzino Destro,37,177,83,94,83,0,0.4689,38,50,4,4,22,24,1,0,17/18,B
Haller,Robin,SGB,Terzino Sinistro,37,165,82,83,81,1,0.497,30,13,7,3,4,2,0,0,17/18,B
Darj,Max,BHC,Pivot,38,107,82,25,82,0,0.7664,15,32,5,30,23,23,1,0,17/18,B
Fridgeirsson,Fannar Tor,ASV,Terzino Sinistro,36,140,80,60,68,12,0.5714,39,20,6,3,9,7,0,0,17/18,B
Klingler,Felix,KON,Ala Destra,36,124,79,45,75,4,0.6371,7,15,14,0,2,1,0,0,17/18,B
