Cognome,Nome,Squadra,Posizione,Partite Giocate,Tiri Totali,Gol Totali,Tiri Sbagliati,Gol Azione,Gol Rigore,Percentuale Realizzazione,Assist,Falli Tecnici,Intercetti,Blocchi,Cartellino Giallo,2 Minuti,Cartellino Rosso,Cartellino Blu,Stagione,Categoria
Neuhaus,Max,LUD,Centrale,32,24,15,9,15,0,0.625,19,3,0,1,0,0,0,0,22/23,B
Onufriienko,Oleksandr,HCM,Pivot,29,34,15,19,15,0,0.4412,1,3,1,0,1,4,0,0,22/23,B
Gorpishin,Sergey,LUD,Pivot,29,27,15,12,15,0,0.5556,3,10,2,4,0,5,0,0,22/23,B
Wolf,Victor Foged,VFL,Ala Sinistra,25,25,15,10,15,0,0.6,0,4,3,1,0,3,0,0,22/23,B
Ostenberg,Orn Vesteinsson,NLB,Terzino Sinistro,22,36,15,21,15,0,0.4167,7,15,0,0,0,2,0,0,22/23,B
Becker,Alexander,HAG,Pivot,21,20,14,6,14,0,0.7,8,3,9,18,3,19,1,0,22/23,B
Visser,Sander,NOL,Ala Destra,5,19,14,5,14,0,0.7368000000000001,0,2,0,0,0,1,0,0,22/23,B
Geis,Linus,WÖW,Terzino Sinistro,30,38,14,24,14,0,0.3684,2,10,2,5,3,9,0,0,22/23,B
Bones,Paul,DES,Centrale,27,22,14,8,14,0,0.6364,17,10,2,1,2,1,0,0,22/23,B
Babarskas,Povilas,TVG,Terzino Destro,32,17,12,5,12,0,0.7059000000000001,2,3,0,8,2,13,1,0,22/23,B
Holzhacker,Paul,NLB,Ala Destra,38,22,11,11,11,0,0.5,1,4,0,0,0,0,0,0,22/23,B
Dutschke,Jannik,ELB,Ala Sinistra,9,16,11,5,11,0,0.6875,0,3,0,0,0,0,0,0,22/23,B
Klein,Luca,HAG,Centrale,15,17,11,6,11,0,0.6470999999999999,1,6,1,0,0,1,0,0,22/23,B
Karvatski,Artur,DOR,Terzino Destro,9,30,10,20,10,0,0.3333,10,9,0,0,0,1,0,0,22/23,B
Baumgart,Luka,DES,Centrale,30,12,10,2,10,0,0.8332999999999999,8,11,3,11,4,19,0,0,22/23,B
Dragunski,Arvid,HAG,Terzino Sinistro,14,22,10,12,10,0,0.4545,4,5,0,0,0,0,0,0,22/23,B
Hanemann,Hendrik,ELB,Pivot,4,15,10,5,10,0,0.6667000000000001,1,2,0,1,0,1,0,0,22/23,B
Renninger,Julian,HAG,Pivot,14,11,8,3,8,0,0.7273000000000001,0,3,1,1,0,4,0,0,22/23,B
Baumgartner,Florian,NLB,Terzino Destro,18,27,8,19,8,0,0.2963,12,5,0,1,0,0,0,0,22/23,B
Leitz,Lennart,VFL,Ala Destra,15,15,8,7,8,0,0.5333,0,0,1,0,0,0,0,0,22/23,B
Buschhaus,Luis,TUE,Centrale,18,11,8,3,8,0,0.7273000000000001,1,3,1,0,0,1,0,0,22/23,B
Gunther,Max,POT,Ala Destra,20,15,8,7,6,2,0.5333,1,0,1,0,0,0,0,0,22/23,B
Richter,Luca,HAG,Ala Destra,11,9,8,1,8,0,0.8889,1,3,1,0,0,0,0,0,22/23,B
Oberman Etzion,Alon,POT,Ala Sinistra,12,10,7,3,6,1,0.7,0,1,1,0,0,1,0,0,22/23,B
Simonsen,Christian Ole,DOR,Portiere,31,8,7,1,7,0,0.875,11,5,0,0,0,0,0,0,22/23,B
Demerza,Alexej,HRO,Terzino Sinistro,12,27,7,20,7,0,0.2593,2,6,2,1,0,1,0,0,22/23,B
Klimpke,Ole,DOR,Terzino Sinistro,11,13,7,6,7,0,0.5385,11,9,2,0,0,2,0,0,22/23,B
Clarius,Valentin,SGB,Pivot,11,9,7,2,7,0,0.7778,0,1,0,3,0,3,0,0,22/23,B
Seidel,Malte,TUE,Terzino Sinistro,37,8,6,2,6,0,0.75,15,4,9,35,4,12,1,0,22/23,B
Bicer,Gorkem,TVG,Ala Destra,3,6,6,0,6,0,1.0,1,0,0,0,0,0,0,0,22/23,B
Jockel,Patrick,TVH,Pivot,24,9,6,3,6,0,0.6667000000000001,1,0,0,2,0,2,0,0,22/23,B
Kaulitz,Tim,SGB,Ala Sinistra,13,11,6,5,6,0,0.5455,0,0,1,0,0,0,0,0,22/23,B
Reidegeld,Jona,TUE,Ala Destra,17,11,6,5,6,0,0.5455,0,0,2,0,0,0,0,0,22/23,B
Trager,Florian,DOR,Terzino Destro,13,17,6,11,6,0,0.3529,7,15,0,0,0,0,0,0,22/23,B
Kuhn,Benedikt,POT,Terzino Destro,19,8,6,2,6,0,0.75,2,4,0,0,0,0,0,0,22/23,B
Hagedorn,Ole,VFL,Terzino Sinistro,18,20,6,14,6,0,0.3,5,1,1,1,0,0,0,0,22/23,B
Zimmer,Ben,HRO,Terzino Destro,9,9,6,3,6,0,0.6667000000000001,0,1,0,0,0,2,0,0,22/23,B
Schmidt,Daniel,DES,Pivot,36,5,5,0,5,0,1.0,6,2,4,6,3,22,1,0,22/23,B
Asmuth,Jan,SGB,Ala Sinistra,9,7,5,2,5,0,0.7143,0,1,1,0,0,0,0,0,22/23,B
Ranftl,Julian,NOL,Ala Destra,3,8,5,3,5,0,0.625,0,2,0,0,0,0,0,0,22/23,B
Gonschor,Fynn,VFL,Ala Sinistra,12,8,5,3,5,0,0.625,0,1,0,0,0,0,0,0,22/23,B
Bader,Jona,SGB,Ala Destra,7,7,5,2,5,0,0.7143,0,0,0,0,0,0,0,0,22/23,B
Hubke,Torben,EIS,Pivot,27,8,5,3,5,0,0.625,1,2,1,0,0,5,0,0,22/23,B
Merk,Alexander,WÖW,Pivot,24,11,5,6,5,0,0.4545,2,1,1,2,2,9,0,0,22/23,B
Wente,Till,HBW,Terzino Sinistro,14,9,5,4,5,0,0.5556,0,2,0,2,1,3,0,0,22/23,B
Mallwitz,Marino,ELB,Portiere,36,5,4,1,4,0,0.8,14,3,1,0,0,0,0,0,22/23,B
Molina,Carlos,HCM,Pivot,37,6,4,2,4,0,0.6667000000000001,20,10,6,19,7,24,2,1,22/23,B
Meyer,Philipp,EIS,Pivot,31,7,4,3,4,0,0.5714,8,0,5,16,7,28,3,0,22/23,B
Boukovinas,Petros,TVG,Portiere,38,7,4,3,4,0,0.5714,14,2,0,0,0,0,0,0,22/23,B
Grazioli,Leonard,TVH,Portiere,36,9,4,5,4,0,0.4443999999999999,4,2,0,0,0,0,0,0,22/23,B
Blum,Matthis,VFL,Centrale,27,13,4,9,4,0,0.3077,10,7,0,0,1,1,0,0,22/23,B
Niestroj,Maurice,ELB,Centrale,16,9,4,5,3,1,0.4443999999999999,2,4,1,0,0,0,0,0,22/23,B
Ilic,Mihailo,LUD,Terzino Sinistro,1,4,4,0,4,0,1.0,1,0,0,0,0,0,0,0,22/23,B
Pawelka,Lukas,HBW,Terzino Sinistro,2,6,4,2,4,0,0.6667000000000001,1,1,1,0,0,1,0,0,22/23,B
Brenner,Vincent,SGB,Ala Destra,23,9,4,5,4,0,0.4443999999999999,0,2,4,0,0,0,0,0,22/23,B
Fuoss,Dennis,HBW,Ala Sinistra,9,6,4,2,0,4,0.6667000000000001,0,0,0,0,0,0,0,0,22/23,B
Boehnert,Florian,DOR,Centrale,12,9,4,5,4,0,0.4443999999999999,4,3,1,0,0,0,0,0,22/23,B
Flathe,Luca Leon,POT,Terzino Destro,11,9,4,5,4,0,0.4443999999999999,1,5,0,0,0,0,0,0,22/23,B
Reimer,Erik,HRO,Terzino Sinistro,4,8,4,4,4,0,0.5,0,0,0,0,0,0,0,0,22/23,B
Kneer,Stefan,TVH,Terzino Sinistro,2,4,3,1,3,0,0.75,3,2,0,0,1,2,0,0,22/23,B
Asanin,Matej,LUD,Portiere,27,3,3,0,3,0,1.0,4,1,0,0,0,0,0,0,22/23,B
Wieser,Andreas,WÖW,Portiere,38,4,3,1,3,0,0.75,3,2,0,0,0,0,0,0,22/23,B
Genz,Fredrik,SGB,Portiere,35,6,3,3,3,0,0.5,12,1,0,0,0,0,0,0,22/23,B
Ravensbergen,Bart,NOL,Portiere,38,5,3,2,3,0,0.6,7,1,0,0,1,1,0,0,22/23,B
Conrad,Nils,VFL,Portiere,32,5,3,2,3,0,0.6,2,2,0,0,0,1,0,0,22/23,B
Preller,Max,COB,Ala Sinistra,11,7,3,4,2,1,0.4286,0,0,0,0,0,0,0,0,22/23,B
Knipp,Jo,KON,Terzino Destro,9,9,3,6,3,0,0.3333,3,3,1,1,0,2,0,0,22/23,B
Kamper,Jonas,TUE,Terzino Sinistro,7,6,3,3,3,0,0.5,1,1,0,0,0,0,0,0,22/23,B
Valkovskis,Janis Pavels,COB,Terzino Sinistro,2,6,3,3,3,0,0.5,1,1,0,0,0,0,0,0,22/23,B
Fugel,Elias,HBW,Ala Destra,5,4,3,1,3,0,0.75,0,1,0,0,0,0,0,0,22/23,B
Mund,Noah,COB,Ala Destra,15,4,3,1,3,0,0.75,0,1,0,0,0,1,0,0,22/23,B
Schuler,Mika,HBW,Centrale,7,6,3,3,3,0,0.5,6,2,0,1,0,0,0,0,22/23,B
Plaue,Dominik,TVH,Portiere,36,3,2,1,2,0,0.6667000000000001,2,0,0,0,0,0,0,0,22/23,B
Sauer,Julian,WÖW,Ala Destra,1,4,2,2,2,0,0.5,0,0,0,0,0,1,0,0,22/23,B
Schramm,Peter,KON,Terzino Sinistro,6,6,2,4,2,0,0.3333,1,7,0,5,2,4,0,0,22/23,B
Grzesinski,Mats,HAG,Portiere,22,2,2,0,2,0,1.0,1,3,0,1,0,0,0,0,22/23,B
Noack,Marius,ELB,Portiere,30,2,2,0,2,0,1.0,4,1,0,0,0,0,0,0,22/23,B
Ebert,Moritz,KON,Portiere,37,3,2,1,2,0,0.6667000000000001,8,5,0,0,0,0,0,0,22/23,B
Urbic,Ziga,LUD,Portiere,38,4,2,2,2,0,0.5,5,2,0,0,0,0,0,0,22/23,B
Asheim,Havard,NLB,Portiere,31,3,2,1,2,0,0.6667000000000001,4,2,0,0,0,1,0,0,22/23,B
Siegler,Julius,COB,Centrale,16,5,2,3,2,0,0.4,1,6,0,0,0,0,0,0,22/23,B
Meier,Kilian,HRO,Pivot,1,3,2,1,2,0,0.6667000000000001,0,0,0,0,0,0,0,0,22/23,B
Marquardt,Cedric,EIS,Ala Sinistra,4,4,2,2,0,2,0.5,0,0,0,0,0,0,0,0,22/23,B
Schneider,Jan-Niclas,HAG,Ala Destra,4,3,2,1,2,0,0.6667000000000001,0,1,0,0,0,1,0,0,22/23,B
Pauli,Luis,DOR,Ala Sinistra,4,4,2,2,2,0,0.5,0,0,0,0,0,0,0,0,22/23,B
Kasper,Moritz,DOR,Centrale,1,4,2,2,2,0,0.5,0,1,0,0,0,0,0,0,22/23,B
Locher,Mischa,HBW,Ala Sinistra,1,2,2,0,2,0,1.0,0,0,0,0,0,0,0,0,22/23,B
Katsigiannis,Nikolas,NLB,Portiere,32,1,1,0,1,0,1.0,9,5,0,0,0,1,0,0,22/23,B
Minerva,Jan Steffen,TVG,Portiere,15,1,1,0,1,0,1.0,1,0,1,0,0,2,0,0,22/23,B
Maier,Jonas,WÖW,Portiere,36,1,1,0,1,0,1.0,4,2,0,0,0,0,0,0,22/23,B
Kulhanek,Jan,COB,Portiere,18,3,1,2,1,0,0.3333,4,0,0,0,0,0,0,0,22/23,B
Ambrosius,Philip,DES,Portiere,38,1,1,0,1,0,1.0,20,14,1,0,1,1,0,0,22/23,B
Buhrmester,Bjorn,NOL,Portiere,36,1,1,0,1,0,1.0,2,0,0,0,0,0,0,0,22/23,B
Paske,Maurice,HAG,Portiere,31,2,1,1,1,0,0.5,8,5,0,0,0,0,0,0,22/23,B
Komok,Gennadiy,HCM,Portiere,36,2,1,1,1,0,0.5,9,5,0,0,0,1,0,0,22/23,B
Diedrich,Lukas,TUE,Portiere,37,2,1,1,1,0,0.5,6,3,0,0,0,0,0,0,22/23,B
Jepsen,Johannes,EIS,Portiere,36,1,1,0,1,0,1.0,4,1,0,0,0,0,0,0,22/23,B
Todorovic,Uros,HBW,Terzino Destro,4,3,1,2,1,0,0.3333,2,4,0,1,0,1,0,0,22/23,B
Sejr Jensen,Simon,HBW,Portiere,37,3,1,2,1,0,0.3333,21,5,0,0,1,0,0,0,22/23,B
Potratz,Mattis,VFL,Ala Sinistra,7,3,1,2,1,0,0.3333,0,0,0,0,0,0,0,0,22/23,B
Ludwig,Lasse,POT,Portiere,33,1,1,0,1,0,1.0,6,2,0,0,0,0,0,0,22/23,B
Opitz,Phillip,TVH,Terzino Destro,21,6,1,5,1,0,0.1667,2,5,4,1,2,1,0,0,22/23,B
Chudinov,Nazar,HCM,Portiere,34,1,1,0,1,0,1.0,5,1,0,0,0,0,0,0,22/23,B
Finn-Jannes,Gernus,NLB,Ala Sinistra,5,1,1,0,1,0,1.0,0,0,0,0,0,0,0,0,22/23,B
Borren,Julian,NLB,Terzino Sinistro,4,1,1,0,1,0,1.0,0,1,0,0,0,0,0,0,22/23,B
Wagner,Silas,HBW,Pivot,5,2,1,1,1,0,0.5,0,1,0,0,0,0,0,0,22/23,B
Steinberg,Tom,HRO,Terzino Sinistro,3,1,1,0,1,0,1.0,0,1,0,0,0,0,0,0,22/23,B
Koester,Jens,KON,Pivot,4,2,1,1,1,0,0.5,0,0,0,0,0,0,0,0,22/23,B
Wellner,Julio,ELB,Pivot,6,2,1,1,1,0,0.5,0,0,0,0,0,0,0,0,22/23,B
Krenz,Jonas,WÖW,Pivot,15,4,1,3,1,0,0.25,0,2,0,1,0,1,0,0,22/23,B
Krugele,Paul,SGB,Ala Sinistra,1,1,1,0,1,0,1.0,0,0,0,0,0,0,0,0,22/23,B
Luegering,Fynn,NOL,Terzino Sinistro,4,1,1,0,1,0,1.0,1,0,0,0,0,1,0,0,22/23,B
Sondermann,Frederik,DOR,Pivot,4,1,1,0,1,0,1.0,0,0,0,0,0,0,0,0,22/23,B
Rabe,Hannes,WÖW,Terzino Sinistro,3,1,1,0,1,0,1.0,0,0,0,0,0,0,0,0,22/23,B
Weber,Josef,WÖW,Ala Sinistra,1,1,1,0,1,0,1.0,0,0,0,0,0,0,0,0,22/23,B
Kremp,Robin,DOR,Terzino Destro,3,4,1,3,1,0,0.25,1,2,0,0,0,0,0,0,22/23,B
Stolze,Luca,ELB,Ala Sinistra,4,2,1,1,1,0,0.5,0,0,0,0,0,0,0,0,22/23,B
Schmidt,Maximilian,DOR,Terzino Sinistro,4,1,1,0,1,0,1.0,1,1,0,0,0,0,0,0,22/23,B
Emmerich,Johannes,DOR,Terzino Sinistro,1,1,1,0,1,0,1.0,0,1,0,0,0,0,0,0,22/23,B
Herbel,Gianluca,KON,Ala Sinistra,8,2,1,1,1,0,0.5,0,0,0,0,0,0,0,0,22/23,B
Stankewitz,Konrad,TVH,Ala Sinistra,2,1,1,0,1,0,1.0,0,0,0,0,0,0,0,0,22/23,B
Klockmann,Dennis,VFL,Portiere,31,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,22/23,B
Rezar,Aljosa,NLB,Portiere,8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Bliss,Sebastian,TUE,Portiere,26,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,22/23,B
Gorobtschuk,Stanislaw,EIS,Portiere,24,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,22/23,B
Peribonio,Roko,LUD,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Miljak,Duje,EIS,Terzino Destro,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,22/23,B
Waschul,Martin,VFL,Centrale,14,0,0,0,0,0,0.0,2,0,1,3,0,1,0,0,22/23,B
Poltrum,Konstantin,SGB,Portiere,27,0,0,0,0,0,0.0,4,0,1,0,0,0,0,0,22/23,B
Wolf,Maximilian,KON,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Schmidt,Nils Thorben,HAG,Portiere,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Mahncke,Tobias,HAG,Portiere,26,0,0,0,0,0,0.0,3,1,0,0,0,0,0,0,22/23,B
Bartels,Dennis,NOL,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Martinsen,Havard,COB,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Zemlin,Florian,HRO,Centrale,3,0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,22/23,B
Wetzel,Robert,HRO,Portiere,31,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,22/23,B
Broy,Matthias Jan,DOR,Portiere,11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Brustmann,Max,EIS,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Keidel,Matthias,WÖW,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Schmitt,Stefan,WÖW,Terzino Sinistro,1,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,22/23,B
Topfer,Erik,EIS,Portiere,13,0,0,0,0,0,0.0,1,2,0,0,0,0,0,0,22/23,B
Schlotmann,Lorenz,HAG,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Kister,Lukas,HAG,Centrale,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Apfel,Fabian,COB,Portiere,32,0,0,0,0,0,0.0,6,7,0,0,0,0,0,0,22/23,B
Hoffmann,Robin,ELB,Ala Destra,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,22/23,B
Ferjan,Mark,POT,Portiere,38,0,0,0,0,0,0.0,2,0,1,0,0,0,0,0,22/23,B
Juzbasic,Martin,DOR,Portiere,36,0,0,0,0,0,0.0,14,4,0,0,0,0,0,0,22/23,B
Fuchs,Arne,TUE,Portiere,36,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Mehler,Leon,HRO,Portiere,33,0,0,0,0,0,0.0,6,7,0,0,0,0,0,0,22/23,B
Boieck,Janis,KON,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Mohs,Max,ELB,Portiere,12,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,22/23,B
Voncina,Blaz,POT,Portiere,30,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,22/23,B
Ruminsky,Mario,HBW,Portiere,38,0,0,0,0,0,0.0,11,8,0,1,0,0,0,0,22/23,B
Prager,Tillmann,ELB,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Bohne,Simon,TVH,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Jochens,Jan,COB,Portiere,24,0,0,0,0,0,0.0,4,3,0,0,0,0,0,0,22/23,B
Klein,Sebastian,EIS,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Baranasic,Filip,HBW,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Dreyer,Paul,VFL,Portiere,21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Grabenstein,Leon,KON,Portiere,38,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,22/23,B
Klama,Joonas,NLB,Portiere,12,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,22/23,B
Panisic,Igor,HAG,Pivot,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Budko,Mykhailo,HCM,Portiere,17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Patzwaldt,Janik,DES,Portiere,38,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,22/23,B
Hagen,Melf,VFL,Centrale,8,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,22/23,B
Urban,Lukas,SGB,Ala Sinistra,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Krass,Robert,EIS,Terzino Destro,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Grupe,Mats,LUD,Portiere,12,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,22/23,B
Ohm,Julian,TVG,Portiere,26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Siryk,Oleksandr,TVG,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Pysarevskyi,Mykhailo,TVG,Portiere,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Kasai,Andrii,HCM,Centrale,22,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,22/23,B
Schenderlein,Calvin,TUE,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Stein,Daniel,DOR,Ala Destra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Kutt,Silas,WÖW,Ala Destra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Ruspeler,Finn,TVH,Portiere,9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Mack,Pascal,KON,Pivot,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Martin,Nicolai,TVH,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,22/23,B
Funke,Christopher-Robin,HAG,Ala Sinistra,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Schartl,Lasse,COB,Ala Sinistra,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Hochmuth,Moritz,HRO,Terzino Destro,1,0,0,0,0,0,0.0,0,0,2,0,0,0,0,0,22/23,B
Umejiwgo,Wesley,HAG,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Weller,Jonas,SGB,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Ingwald,Marc,HAG,Ala Destra,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Elsasser,Louis,TUE,Ala Sinistra,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Malchow,Viktor,HRO,Portiere,13,0,0,0,0,0,0.0,4,0,0,0,0,1,0,0,22/23,B
Schwaiger,Timo,ELB,Terzino Sinistro,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
van der Merwe,Kristian,COB,Portiere,7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Lopez,Antonio,SGB,Ala Destra,5,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,22/23,B
Kanters,Jan,SGB,Portiere,16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Ehrlich,Nicolas,SGB,Ala Destra,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Horlitz,Karl Ole,HRO,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Orzol,Tim,HRO,Terzino Destro,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Knutzen,Tim,HAG,Pivot,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Quittmann,Arne,HAG,Pivot,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Siegl,Paul,WÖW,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Daugs,Finn,WÖW,Ala Sinistra,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Beran,Lukas,WÖW,Terzino Sinistro,5,0,0,0,0,0,0.0,4,2,0,0,0,0,0,0,22/23,B
Weckesser,Jannis,WÖW,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Boeckenholt,Felix Elias,DOR,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Ostrowski,Luca Wolfgang,DOR,Pivot,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Schnurpe,Moritz,HRO,Pivot,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Meiser,Nils,LUD,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Drefahl,Jan,ELB,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Zwanzig,Jannis,POT,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Osann,Fynn,KON,Centrale,3,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,22/23,B
Schulz,Jan,HRO,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Harm,Hennes Benedikt,HRO,Centrale,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Kryszon,Philip,ELB,Terzino Sinistro,1,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,22/23,B
Bayer,Anton,TVG,Centrale,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Johannisson,Leon,HRO,Portiere,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,22/23,B
Beneke,Max Christoph,POT,Terzino Destro,31,400,267,133,168,99,0.6675,85,68,13,5,1,7,0,0,23/24,B
Loser,Timo,DES,Terzino Sinistro,31,335,215,120,215,0,0.6418,87,56,1,1,1,3,0,0,23/24,B
Hangstein,Fynn,NLB,Centrale,31,291,197,94,120,77,0.677,93,68,2,3,1,6,0,0,23/24,B
Huesmann,Fabian,ASV,Ala Sinistra,31,221,174,47,61,113,0.7873,5,5,3,2,0,7,1,0,23/24,B
Schafer,Christian,SGB,Ala Destra,29,214,170,44,76,94,0.7944,2,5,10,0,0,4,0,0,23/24,B
Raguse,Mex,LUD,Terzino Sinistro,30,279,170,109,170,0,0.6093,104,58,13,1,3,18,0,0,23/24,B
Wucherpfennig,Lukas,ELB,Ala Destra,31,218,167,51,79,88,0.7661,2,9,9,0,0,4,1,0,23/24,B
Hrstka,Jakub,DES,Ala Sinistra,29,210,167,43,115,52,0.7951999999999999,9,19,5,1,1,8,0,0,23/24,B
Weber,Ian,TVH,Centrale,30,281,166,115,149,17,0.5907,85,65,8,2,7,3,1,0,23/24,B
Billek,Florian,COB,Ala Destra,29,207,154,53,91,63,0.7440000000000001,15,20,7,0,1,2,0,0,23/24,B
Lux,Maximilian,NOL,Ala Destra,31,214,152,62,89,63,0.7103,6,12,7,0,0,4,1,0,23/24,B
Schrader,Janik,VFL,Terzino Destro,31,254,152,102,125,27,0.5984,113,76,4,2,3,5,0,0,23/24,B
Marschall,Tarek,NOL,Centrale,29,249,147,102,147,0,0.5904,60,45,7,5,2,10,0,0,23/24,B
Klein,Jannek,LUD,Terzino Destro,31,242,145,97,145,0,0.5992000000000001,94,57,8,4,0,6,0,0,23/24,B
Steinhaus,Soren,DOR,Centrale,30,242,143,99,141,2,0.5909,60,50,3,2,2,12,0,0,23/24,B
Darmoul,Mohamed Amine,GWD,Centrale,24,191,142,49,132,10,0.7434999999999999,58,75,6,0,0,2,0,0,23/24,B
Styrmisson,Hakon Dadi,HAG,Ala Sinistra,30,209,141,68,126,15,0.6746,5,16,9,1,1,6,0,0,23/24,B
Zintel,Bjorn,ASV,Centrale,31,223,138,85,136,2,0.6188,90,78,7,0,1,5,0,0,23/24,B
Wasielewski,Johannes,NOL,Terzino Destro,30,220,136,84,136,0,0.6182,50,48,5,7,4,19,1,0,23/24,B
Simic,Josip,POT,Pivot,31,182,136,46,136,0,0.7473000000000001,13,25,6,7,4,17,0,0,23/24,B
