Lastname,Name,Team,Position,Games Played,Goals,Missed,Field Goals,Penalty Goals,Shooting Accuracy,Assists,Technical Faults,Steals,Blocks,Yellow Cards,2 Min Exclusion,Red Cards,Blue Cards,Season,Tier
Milde,Oliver,VFL,LB,19,94,72,94,0,0.5663,14,14,1,0,0,1,0,0,17/18,B
Weyhrauch,Willy,EIS,RW,35,94,42,94,0,0.6912,16,13,19,0,8,15,0,0,17/18,B
Kammlodt,Adrian,ELB,LB,38,94,109,94,0,0.4631,41,29,4,3,7,8,0,0,17/18,B
Friedrich,Lars,HBW,RB,30,93,66,93,0,0.5849,42,31,1,4,9,7,0,0,17/18,B
Bornhauser,Tim,KON,CB,38,93,73,88,5,0.5602,60,38,7,4,11,6,0,0,17/18,B
Wolf,Tom,KON,LB,34,93,59,62,31,0.6118,31,17,4,15,5,9,0,0,17/18,B
Majdzinski,Maciej,BHC,RB,37,91,63,91,0,0.5909,34,25,9,5,12,8,0,0,17/18,B
Woss,Richard,TUE,RW,29,90,45,81,9,0.6667000000000001,4,9,11,0,2,3,0,0,17/18,B
Kirveliavicius,Romas,COB,LB,36,90,91,90,0,0.4972,32,33,6,17,20,20,1,0,17/18,B
Possehl,Julian,ASV,RB,35,89,71,89,0,0.5563,100,67,6,9,10,10,0,0,17/18,B
Vanco,Marek,DES,LW,38,89,47,89,0,0.6544,19,17,4,5,10,20,0,0,17/18,B
Damm,Sebastian,VFL,LW,29,89,31,45,44,0.7417,6,18,7,0,5,6,1,0,17/18,B
Hanisch,Libor,DES,P,38,89,16,89,0,0.8476,7,20,4,21,19,29,3,0,17/18,B
Niemeyer,Marcel,EIS,P,34,88,27,88,0,0.7652,4,24,1,7,14,21,0,0,17/18,B
Kropp,Andre,TVE,P,35,87,33,87,0,0.725,8,10,8,16,14,24,0,0,17/18,B
Emanuel,Max,SGB,RB,38,87,70,87,0,0.5540999999999999,76,30,18,4,16,13,0,0,17/18,B
Kolodziej,Falk,HGS,CB,37,87,79,87,0,0.5241,35,26,5,0,4,5,0,0,17/18,B
Klasmann,Christopher,VIK,LB,33,86,136,76,10,0.3874,25,24,0,0,1,2,0,0,17/18,B
Engels,Marcel,HGS,LB,37,85,86,85,0,0.4971,47,45,11,16,14,29,1,0,17/18,B
De Santis,Gabriel,ELB,RB,37,83,94,83,0,0.4689,38,50,4,4,22,24,1,0,17/18,B
Haller,Robin,SGB,LB,37,82,83,81,1,0.49700000000000005,30,13,7,3,4,2,0,0,17/18,B
Darj,Max,BHC,P,38,82,25,82,0,0.7664,15,32,5,30,23,23,1,0,17/18,B
Fridgeirsson,Fannar Tor,ASV,LB,36,80,60,68,12,0.5714,39,20,6,3,9,7,0,0,17/18,B
Klingler,Felix,KON,RW,36,79,45,75,4,0.6371,7,15,14,0,2,1,0,0,17/18,B
Akerman,Rickard,VFL,RB,32,79,68,78,1,0.5374,29,23,4,2,4,6,0,0,17/18,B
Becvar,Roman,ELB,CB,37,79,79,79,0,0.5,70,31,7,4,9,15,0,0,17/18,B
Schomig,Dominik,WÖW,LW,36,79,44,66,13,0.6423000000000001,10,16,9,0,1,4,0,0,17/18,B
Kotrc,Milan,BHC,LW,38,78,51,78,0,0.6047,6,9,18,1,4,2,0,0,17/18,B
Barkow,Moritz,HGS,P,25,77,15,77,0,0.8370000000000001,5,15,0,1,4,1,0,0,17/18,B
Fraatz,Yannick,NOL,RW,36,77,50,77,0,0.6063000000000001,5,9,11,3,8,5,0,0,17/18,B
Aust,Dennis,VIK,RW,37,77,44,75,2,0.6364,11,12,5,1,16,10,0,0,17/18,B
Lungela,Maurice,HIL,RB,37,76,76,76,0,0.5,14,25,7,0,6,6,0,0,17/18,B
Barthe,Paco,SGB,CB,37,75,35,75,0,0.6818000000000001,71,17,26,30,18,25,0,0,17/18,B
Pankofer,Daniel,VIK,CB,27,75,72,57,18,0.5102,21,34,2,1,4,4,0,0,17/18,B
Muller,Justin,TUE,CB,35,75,66,74,1,0.5318999999999999,68,37,5,2,2,6,0,0,17/18,B
Sauer,Julian,WÖW,RW,36,75,39,75,0,0.6579,7,6,3,0,9,5,0,0,17/18,B
Weis,Niklas,VIK,RB,36,75,76,75,0,0.49670000000000003,47,51,2,0,3,9,0,0,17/18,B
Genda,Pawel,VFL,LB,18,75,62,75,0,0.5474,18,15,4,4,5,4,0,0,17/18,B
Konig,Felix,SGB,CB,35,74,60,74,0,0.5522,27,19,1,0,0,1,0,0,17/18,B
Lauenroth,Julian,VFL,RW,31,73,37,56,17,0.6636,10,10,5,1,4,4,0,0,17/18,B
Krieg,Julian,ASV,RB,34,73,66,71,2,0.5252,28,27,3,5,3,7,1,0,17/18,B
Schlaich,Fabian,KON,LW,25,72,46,67,5,0.6102000000000001,13,14,6,0,1,1,0,0,17/18,B
Bettin,Maximilian-Leon,BHC,LB,34,72,58,53,19,0.5538000000000001,14,14,2,4,2,2,0,0,17/18,B
Renninger,Julian,HAG,P,27,72,24,70,2,0.75,22,17,14,15,13,16,0,0,17/18,B
Remke,Gregor,AUE,RB,27,70,55,68,2,0.56,29,40,4,1,5,15,0,0,17/18,B
Scheithauer,Max,DES,LB,22,70,58,70,0,0.5468999999999999,38,23,1,0,1,3,0,0,17/18,B
Quade,Henning,ELB,P,30,69,23,69,0,0.75,8,20,3,5,11,14,1,0,17/18,B
Glabisch,Thees,VFL,LW,24,69,28,51,18,0.7112999999999999,5,6,5,1,1,5,0,0,17/18,B
Zahradnicek,Jan,DES,RW,33,69,32,69,0,0.6831999999999999,4,11,1,0,0,4,0,0,17/18,B
Schonningsen,Simen,HBW,RB,28,69,47,69,0,0.5948,29,18,0,2,3,2,0,0,17/18,B
Riehn,Till,COB,CB,32,68,44,47,21,0.6071,42,25,0,4,6,4,0,0,17/18,B
ten Velde,Rutger,WHV,LW,32,68,40,66,2,0.6296,4,12,2,0,6,5,0,0,17/18,B
